pincode,year,state,district,age_0_5,age_5_17,age_18_greater,total_enrollments,updates_5_17,updates_18_plus,total_updates,UER,UER_18_plus,NMR,NMR_adult,migration_category,NMR_quartile,NMR_bin,area_type,is_anomaly
825406,2025,Jharkhand,Hazaribagh,364,275,2,641,657,7603,8260,12.886115444617785,11.861154446177848,11.886115444617785,10.861154446177848,extreme_attraction,Q3,10-20,High,False
825407,2025,Jharkhand,Koderma,218,123,0,341,156,3047,3203,9.392961876832844,8.935483870967742,8.392961876832844,7.935483870967742,very_high_attraction,Q2,5-10,Medium,False
825408,2025,Jharkhand,Chatra,651,443,1,1095,856,8639,9495,8.67123287671233,7.889497716894978,7.671232876712329,6.889497716894978,very_high_attraction,Q2,5-10,Very High,False
825409,2025,Jharkhand,Kodarma,628,368,4,1000,565,4871,5436,5.436,4.871,4.436,3.871,high_attraction,Q1,2-5,High,False
825410,2025,Jharkhand,Koderma,268,116,1,385,129,1877,2006,5.21038961038961,4.875324675324675,4.21038961038961,3.8753246753246753,high_attraction,Q1,2-5,Medium,False
825411,2025,Jharkhand,Hazaribagh,189,72,0,261,227,2618,2845,10.900383141762452,10.030651340996169,9.900383141762452,9.030651340996169,very_high_attraction,Q3,5-10,Medium,False
825412,2025,Jharkhand,Giridih,638,526,2,1166,1225,16422,17647,15.134648370497429,14.084048027444254,14.134648370497429,13.084048027444254,extreme_attraction,Q4,10-20,Very High,False
825413,2025,Jharkhand,Hazaribagh,93,54,0,147,184,1606,1790,12.17687074829932,10.92517006802721,11.17687074829932,9.92517006802721,extreme_attraction,Q3,10-20,Medium,False
825418,2025,Jharkhand,Giridih,492,187,0,679,455,5017,5472,8.058910162002945,7.388807069219441,7.058910162002945,6.388807069219441,very_high_attraction,Q2,5-10,High,False
826001,2025,Jharkhand,Dhanbad,372,202,0,574,393,4762,5155,8.980836236933797,8.296167247386759,7.980836236933797,7.296167247386759,very_high_attraction,Q2,5-10,High,False
826004,2025,Jharkhand,Dhanbad,253,101,4,358,303,2920,3223,9.002793296089385,8.156424581005586,8.002793296089385,7.156424581005586,very_high_attraction,Q2,5-10,Medium,False
826005,2025,Jharkhand,Dhanbad,20,13,0,33,35,205,240,7.272727272727272,6.212121212121212,6.2727272727272725,5.212121212121212,very_high_attraction,Q2,5-10,Low,False
827001,2025,Jharkhand,Bokaro,85,73,0,158,80,620,700,4.430379746835443,3.924050632911392,3.4303797468354427,2.9240506329113924,high_attraction,Q1,2-5,Medium,False
827003,2025,Jharkhand,Bokaro,21,13,0,34,43,336,379,11.147058823529411,9.882352941176473,10.147058823529411,8.882352941176471,extreme_attraction,Q3,10-20,Low,False
